AA Distance,Count_Continuous Helix,AA Distance,Count_Continuous Sheet,AA Distance,Count_Continuous Loop,AA Distance,Count_Continuous Helix-Loop,AA Distance,Count_Continuous Sheet-Loop,AA Distance,Count_Continuous Helix-Loop-Sheet
1,1088,1,117,1,1315,1,107,1,63,1,0
2,859,2,108,2,1196,2,270,2,135,2,5
3,848,3,90,3,976,3,416,3,240,3,14
4,876,4,78,4,880,4,439,4,248,4,17
5,663,5,47,5,804,5,541,5,289,5,50
6,604,6,36,6,735,6,598,6,307,6,47
7,776,7,13,7,545,7,609,7,305,7,60
8,547,8,10,8,570,8,615,8,356,8,85
9,337,9,8,9,518,9,697,9,399,9,108
10,331,10,5,10,401,10,678,10,400,10,125
11,329,11,0,11,346,11,602,11,380,11,151
12,203,12,1,12,385,12,655,12,391,12,179
13,131,13,1,13,276,13,642,13,355,13,175
14,121,14,0,14,256,14,543,14,311,14,165
15,95,15,0,15,213,15,501,15,271,15,145
16,50,16,0,16,186,16,520,16,283,16,154
17,40,17,0,17,143,17,399,17,226,17,131
18,42,18,0,18,136,18,325,18,205,18,126
19,20,19,0,19,129,19,296,19,179,19,105
20,21,20,0,20,85,20,271,20,146,20,91
