AA Distance,Count_Continuous Helix,"Frequency(H), %",AA Distance.1,Count_Continuous Sheet,"Frequency(S), %",AA Distance.2,Count_Continuous Loop,"Frequency(L), %",AA Distance.3,Count_Continuous Helix-Loop,"Frequency(H-L), %",AA Distance.4,Count_Continuous Sheet-Loop,"Frequency(L-S), %",AA Distance.5,Count_Continuous Helix-Loop-Sheet,"Frequency(H-L-S), %"
1,1088,13.6323769,1,117,22.76264591,1,1315,13.02625062,1,107,1.100370218,1,63,1.147750046,1,0,0
2,859,10.76306227,2,108,21.01167315,2,1196,11.84744923,2,270,2.77663513,2,135,2.459464383,2,5,0.258665287
3,848,10.62523493,3,90,17.50972763,3,976,9.668152551,3,416,4.278074866,3,240,4.372381126,3,14,0.724262804
4,876,10.97606816,4,78,15.17509728,4,880,8.717186726,4,439,4.514603044,4,248,4.518127163,4,17,0.879461976
5,663,8.30722967,5,47,9.143968872,5,804,7.964338782,5,541,5.563554093,5,289,5.265075606,5,50,2.586652871
6,604,7.567973938,6,36,7.003891051,6,735,7.280832095,6,598,6.14973262,6,307,5.59300419,6,47,2.431453699
7,776,9.723092344,7,13,2.529182879,7,545,5.398712234,7,609,6.262854792,7,305,5.556567681,7,60,3.103983445
8,547,6.853777722,8,10,1.945525292,8,570,5.646359584,8,615,6.324557795,8,356,6.48569867,8,85,4.397309881
9,337,4.222528505,9,8,1.556420233,9,518,5.131253096,9,697,7.167832168,9,399,7.269083622,9,108,5.587170202
10,331,4.147349956,10,5,0.972762646,10,401,3.972263497,10,678,6.972439325,10,400,7.287301876,10,125,6.466632178
11,329,4.12229044,11,0,0,11,346,3.427439326,11,602,6.190867956,11,380,6.922936783,11,151,7.811691671
12,203,2.54354091,12,1,0.194552529,12,385,3.813769193,12,655,6.735911148,12,391,7.123337584,12,179,9.260217279
13,131,1.641398321,13,1,0.194552529,13,276,2.734026746,13,642,6.602221308,13,355,6.467480415,13,175,9.053285049
14,121,1.516100739,14,0,0,14,256,2.535908866,14,543,5.584121761,14,311,5.665877209,14,165,8.535954475
15,95,1.190327027,15,0,0,15,213,2.109955423,15,501,5.15220074,15,271,4.937147021,15,145,7.501293326
16,50,0.626487909,16,0,0,16,186,1.842496285,16,520,5.347593583,16,283,5.155766078,16,154,7.966890843
17,40,0.501190327,17,0,0,17,143,1.416542843,17,399,4.103249691,17,226,4.11732556,17,131,6.777030523
18,42,0.526249843,18,0,0,18,136,1.347201585,18,325,3.342245989,18,205,3.734742212,18,126,6.518365235
19,20,0.250595164,19,0,0,19,129,1.277860327,19,296,3.044014809,19,179,3.26106759,19,105,5.431971029
20,21,0.263124922,20,0,0,20,85,0.842000991,20,271,2.786918963,20,146,2.659865185,20,91,4.707708226
